time, amplitude, 
17.407,-0.45041, 
17.432,-0.51108, 
17.456,-0.26289, 
17.48,-0.00919, 
17.505,0.1195, 
17.529,0.08641, 
17.554,-0.03861, 
17.578,-0.25554, 
17.603,-0.30518, 
17.627,-0.03309, 
17.651,0.25922, 
17.676,0.52762, 
17.7,0.68389, 
17.725,0.66734, 
17.749,0.50924, 
17.773,0.26657, 
17.798,0.08089, 
17.822,0.00919, 
17.847,0.11582, 
17.871,0.26841, 
17.896,0.35297, 
17.92,0.36033, 
17.944,0.2298, 
17.969,-0.05883, 
17.993,-0.09376, 
18.018,0.00368, 
18.042,0.09008, 
18.066,0.18568, 
18.091,0.21326, 
18.115,0.15259, 
18.14,0.00735, 
18.164,-0.19487, 
18.188,-0.24635, 
18.213,-0.10479, 
18.237,-0.03309, 
18.262,-0.05148, 
18.286,-0.01287, 
18.311,-0.04964, 
18.335,-0.01471, 
18.359,0.0478, 
18.384,0.08824, 
18.408,0.05699, 
18.433,0.36768, 
18.457,0.24451, 
18.481,0.40445, 
18.506,0.29047, 
18.53,0.55152, 
18.555,0.64896, 
18.579,0.59564, 
18.604,0.67653, 
18.628,0.48902, 
18.652,0.17097, 
18.677,-0.26657, 
18.701,-0.45409, 
18.726,-0.41732, 
18.75,-0.23532, 
18.774,-0.15994, 
18.799,0.03861, 
18.823,0.12133, 
18.848,0.01655, 
18.872,-0.18384, 
18.896,-0.52578, 
18.921,-0.59197, 
18.945,-0.59013, 
18.97,-0.44857, 
18.994,-0.24635, 
19.019,0.15075, 
19.043,0.20958, 
19.067,-0.04596, 
19.092,-0.24083, 
19.116,-0.364, 
19.141,-0.24819, 
19.165,-0.21693, 
19.189,-0.00552, 
19.214,0.23532, 
19.238,0.40813, 
19.263,0.52946, 
19.287,0.46144, 
19.312,0.19855, 
19.336,0.08824, 
19.36,0.0956, 
19.385,0, 
19.409,0.15626, 
19.434,0.26105, 
19.458,0.32172, 
19.482,0.11398, 
19.507,-0.19119, 
19.531,-0.39526, 
19.556,-0.63425, 
19.58,-0.75559, 
19.604,-0.58094, 
19.629,-0.34378, 
19.653,-0.13237, 
19.678,0.00919, 
19.702,0.12685, 
19.727,0.24083, 
19.751,-0.04044, 
19.775,-0.23715, 
19.8,-0.31621, 
19.824,-0.27392, 
19.849,-0.17649, 
19.873,-0.17833, 
19.897,-0.1195, 
19.922,0.01287, 
19.946,0.0478, 
19.971,-0.15626, 
19.995,-0.11214, 
20.02,0.02941, 
20.044,0.09376, 
20.068,0.03861, 
20.093,0.02022, 
20.117,0.19487, 
20.142,0.28311, 
20.166,0.41364, 
20.19,0.63241, 
20.215,0.68756, 
20.239,0.54049, 
20.264,0.37871, 
20.288,0.21509, 
20.313,0.01655, 
20.337,-0.17465, 
20.361,-0.12317, 
20.386,-0.07537, 
20.41,0.09192, 
20.435,0.26841, 
20.459,0.17833, 
20.483,-0.10111, 
20.508,-0.2537, 
20.532,-0.3493, 
20.557,-0.5074, 
20.581,-0.55888, 
20.605,-0.40261, 
20.63,-0.32908, 
20.654,-0.26657, 
20.679,-0.3732, 
20.703,-0.33827, 
20.728,-0.34562, 
20.752,-0.36033, 
20.776,-0.28863, 
20.801,-0.14891, 
20.825,-0.09376, 
20.85,0.14707, 
20.874,0.22612, 
20.898,0.36768, 
20.923,0.49269, 
20.947,0.5074, 
20.972,0.29966, 
20.996,0.18568, 
21.021,0.21877, 
21.045,0.36952, 
21.069,0.40445, 
21.094,0.52946, 
21.118,0.61771, 
21.143,0.59381, 
21.167,0.51659, 
21.191,0.29047, 
21.216,0.11398, 
21.24,-0.03309, 
21.265,-0.02206, 
21.289,0.01287, 
21.313,0.00184, 
21.338,-0.12317, 
21.362,-0.23532, 
21.387,-0.37504, 
21.411,-0.3971, 
21.436,-0.38974, 
21.46,-0.39342, 
21.484,-0.35481, 
21.509,-0.30518, 
21.533,-0.21877, 
21.558,-0.22612, 
21.582,-0.25186, 
21.606,-0.23348, 
21.631,-0.27208, 
21.655,-0.14891, 
21.68,-0.15994, 
21.704,-0.08273, 
21.729,-0.06251, 
21.753,-0.02574, 
21.777,0.01838, 
21.802,0.05148, 
21.826,0.15075, 
21.851,0.31069, 
21.875,0.41732, 
21.899,0.52027, 
21.924,0.54785, 
21.948,0.48166, 
21.973,0.4357, 
21.997,0.26105, 
22.021,0.15626, 
22.046,0.06067, 
22.07,-0.09008, 
22.095,-0.35114, 
22.119,-0.56255, 
22.144,-0.62874, 
22.168,-0.75007, 
22.192,-0.74272, 
22.217,-0.65263, 
22.241,-0.45409, 
22.266,-0.28311, 
22.29,-0.22796, 
22.314,-0.34378, 
22.339,-0.42467, 
22.363,-0.46144, 
22.388,-0.37687, 
22.412,-0.10847, 
22.437,0.2537, 
22.461,0.78316, 
22.485,0.66367, 
22.51,-0.0956, 
22.534,-0.3732, 
22.559,-0.68756, 
22.583,-1.081, 
22.607,-1.1398, 
22.632,-0.24635, 
22.656,0.85486, 
22.681,1.8991, 
22.705,2.7723, 
22.729,2.7484, 
22.754,1.8991, 
22.778,0.39893, 
22.803,-0.67837, 
22.827,-1.138, 
22.852,-0.90266, 
22.876,-0.1434, 
22.9,0.94494, 
22.925,1.9506, 
22.949,2.105, 
22.974,1.3678, 
22.998,0.10111, 
23.022,-0.69676, 
23.047,-0.88427, 
23.071,-0.58094, 
23.096,0.03493, 
23.12,0.61035, 
23.145,0.9909, 
23.169,0.84751, 
23.193,0.40261, 
23.218,-0.43938, 
23.242,-0.89898, 
23.267,-0.63977, 
23.291,-0.47615, 
23.315,-0.45409, 
23.34,-0.55336, 
23.364,-0.40077, 
23.389,-0.40997, 
23.413,-0.22061, 
23.438,0.182, 
23.462,0.54417, 
23.486,0.88795, 
23.511,1.0847, 
23.535,1.1784, 
23.56,0.95597, 
23.584,0.50189, 
23.608,-0.01838, 
23.633,-0.34011, 
23.657,-0.27025, 
23.682,-0.1342, 
23.706,0.0956, 
23.73,0.182, 
23.755,0.31621, 
23.779,0.15259, 
23.804,-0.05883, 
23.828,-0.36768, 
23.853,-0.58829, 
23.877,-0.84015, 
23.901,-0.98723, 
23.926,-0.9909, 
23.95,-0.98539, 
23.975,-0.93759, 
23.999,-0.87141, 
24.023,-0.83648, 
24.048,-0.88979, 
24.072,-0.92104, 
24.097,-0.98355, 
24.121,-1.0038, 
24.146,-0.83831, 
24.17,-0.46144, 
24.194,-0.32356, 
24.219,-0.09192, 
24.243,0.16362, 
24.268,0.06802, 
24.292,0.00184, 
24.316,-0.10295, 
24.341,0.00735, 
24.365,0.15994, 
24.39,0.15443, 
24.414,0.13053, 
24.438,0.2059, 
24.463,0.43203, 
24.487,0.60484, 
24.512,0.83464, 
24.536,1.0111, 
24.561,0.9909, 
24.585,0.87324, 
24.609,0.67837, 
24.634,0.47799, 
24.658,0.30334, 
24.683,0.28128, 
24.707,0.31253, 
24.731,0.27392, 
24.756,0.12685, 
24.78,-0.15075, 
24.805,-0.41916, 
24.829,-0.48718, 
24.854,-0.3254, 
24.878,-0.04044, 
24.902,0.26289, 
24.927,0.4357, 
24.951,0.61587, 
24.976,0.4357, 
25,0.12685, 
25.024,-0.15994, 
25.049,-0.31621, 
25.073,-0.26841, 
25.098,-0.20958, 
25.122,0.03677, 
25.146,0.29415, 
25.171,0.46879, 
25.195,0.51659, 
25.22,0.5074, 
25.244,0.57358, 
25.269,0.53865, 
25.293,0.603, 
25.317,0.78868, 
25.342,0.89347, 
25.366,0.93207, 
25.391,0.92656, 
25.415,0.68205, 
25.439,0.43203, 
25.464,0.09744, 
25.488,-0.32908, 
25.513,-0.54233, 
25.537,-0.48718, 
25.562,-0.29231, 
25.586,-0.14891, 
25.61,-0.00368, 
25.635,-0.04228, 
25.659,-0.14156, 
25.684,-0.17097, 
25.708,-0.29782, 
25.732,-0.38607, 
25.757,-0.38974, 
25.781,-0.36952, 
25.806,-0.34194, 
25.83,-0.46879, 
25.854,-0.60851, 
25.879,-0.58461, 
25.903,-0.43019, 
25.928,-0.17097, 
25.952,0.16546, 
25.977,0.3254, 
26.001,0.5074, 
26.025,0.60667, 
26.05,0.69308, 
26.074,0.75926, 
26.099,0.72433, 
